易发TV,#genre#
TVB华丽翡翠台,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=TVBhlfct
TVB明珠台,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=TVBmzt

TVB J2,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=TVBJ2

TVB星河,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=TVBxh

ViuTV,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=ViuTV

ViuTV6,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=ViuTV6

香港国际财经台,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=xggjcjt

HOY TV,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=HOYTV
HOY资讯台,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=HOYzxt

港台电视31,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=gtds31

港台电视32,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=gtds32

中天新闻台,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=ztxwt
东森新闻台,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=dsxwt
东森财经新闻台,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=dscjxwt

寰宇新闻台,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=hyxwt
寰宇新闻台湾台,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=hyxwtwt
台视新闻台,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=tsxwt
中视新闻台,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=zsxwt
华视新闻台,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=hsxwt

TVBS新闻台,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=TVBSxwt
三立新闻台,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=slxwt

三立iNEWS,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=sliNEWS
镜电视新闻台,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=jdsxwt
公视新闻,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=gsxw
民视新闻台,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=msxwt

民视,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=ms
台视,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=ts
中视,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=zs
华视,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=hs

TVBS HD,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=TVBSHD

TVBS欢乐台,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=TVBShlt

中天亚洲台,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=ztyzt
纬来体育台,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=wltyt
纬来日本台,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=wlrbt
纬来育乐台,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=wlylt

ELEVEN 1,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=ELEVEN1

ELEVEN 2,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=ELEVEN2
爱尔达体育1台,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=aedty1t
爱尔达体育2台,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=aedty2t

爱尔达体育3台,http://8.134.236.66:45678/hk/tbs.php?key=SVr7s&id=aedty3t

